CLAVE DE INMUEBLE,TECNOLOGIA INSTALADA,ANCHO DE BANDA CONTRATADO 2014,INSTITUCION,NOMBRE DEL CENTRO,TURNO/HORARIO,NIVEL,REGION,MUNICIPIO,LOCALIDAD,DOMICILIO,CODIGO POSTAL,LONGITUD,LATITUD,ESTATUS
14000098, iMAX,2 MB,SEJ,NOMBRE EN TRAMITE,MATUTINO,PRIMARIA,CENTRO,TLAJOMULCO DE ZU—IGA,TLAJOMULCO DE ZU—IGA,COL. DEL ROBLE ZONA 198 SECTOR 26,45640,103°23'58.20, 20°30'18.00 ,ACTIVO
 105SP, iMAX,2 MB,GOB,,N/D,,SUR,ZAPOTLAN EL GRANDE,,CONOCIDO,,103 27 51.4  ,19 42 9.7 ,ACTIVO
 108SP, iMAX,2 MB,GOB,N/D,N/D,N/D,COSTA ORTE,PUERTO VALLARTA,N/D,CONOCIDO,N/D,105 13 32.5  ,20 38 53.7 ,ACTIVO
021IEE, iMAX,2 MB,BIBLIOTECAS,N/D,N/D,N/D,CIENEGA,OCOTLAN,N/D,N/D,N/D,102 46 30.30  ,20 21 46.8 ,ACTIVO
057IEE, iMAX,2 MB,IEEA,N/D,N/D,N/D,COSTA SUR,VILLA PURIFICACIÓN,N/D,ABASOLO # 174  COL. CENTRO C.P. 48800 ,48800,-104.6028806,19.7196083,ACTIVO
102IDEFT, iMAX,2 MB,IDEFT,ARANDAS,"L a V 9:00 A 21:30S 9:00 A 14:00",N/D,ALTOS SUR,ARANDAS,ARANDAS,"ANT. CAM. A BETANIA S/NCOL. LOS AVIONES C.P. 47180",N/D,-102.350567,20.673928,ACTIVO
103IDEFT, iMAX,2 MB,IDEFT,AUTLAN DE AVARRO,"L a V 9:00 A 17:00 S 9:00 A 14:00",N/D,COSTA SUR,AUTLAN DE AVARRO,AUTLAN DE AVARRO,"12 DE OCTUBRE O. 247COL. LAS AMERICASC.P. 48900",N/D,104°21'35.15, 19°45'33.34 ,ACTIVO
109BI, iMAX,2 MB,SC,CASA DE LA CULTURA JESUS MARIA,N/D,N/D,ALTOS SUR,JESUS MARIA,JESUS MARIA,CONSTITUCIÓN # 56,N/D,-102.222694,20.605666,ACTIVO
123IEE, iMAX,2 MB,INEEJAD,MEXTICACAN,N/D,N/D,ALTOS SUR,MEXTICACAN,MEXTICACAN,"MORELOS # 1 COL. CENTRO C.P 47340, MEXTICACAN, MEXTICACAN, C.P. ",47340,102°10'44.08, 21° 1'10.27 ,ACTIVO
131BI, iMAX,2 MB,BIBLIOTECAS,N/D,N/D,N/D,CIENEGA,OCOTLAN,N/D,HIDALGO # 9,N/D,-102.727756,20.407214,ACTIVO
